revised   word
gazette oazette
zanzibar zanziba
a 3
of 25
glove glovt
supplementary 28supplementary
of 28
of 29
of 48
of 02
of 19
of 54
of 03
a 6
a 9
HBM hbm
of 20
HBM hbm
of 22
HBM hbm
of 29
HBM hbm
of 33
HBM hbm
of 35
PBM pibm
of 64
HBM hbm
imported mported
of 11
act 1c9
a a7
juga vuga
salut salum
Suleiman suleiman
khakis khamis
challa dhalla
afar jafar
Raji rawji
Ali ali
kalam kasam
nasua nasur
reams reyami
Ali ali
kalam kasam
adam adamji
Urbai hurbai
bindi binti
salut salum
nasua nasur
Ismail ismail
Suleiman suleiman
khakis khamis
Saburo saburi
khakis khamis
christian christidas
challa dhalla
mane manek
satan sajan
mohammed mobammed
Jamal jamal
Tabib talib
Abdulla abdulla
point pojiat
rajab rajan
sale saleh
kalam kasam
Ismaili ismailji
Kurmi kurji
rajab rajan
Thamar thawar
Jamal jamal
Nathou nathoo
chota chotha
Abdulla abdulla
hashab hasham
kalam kasam
jump juma
katha natha
Ismaili ismailji
Sabia sadia
bindi binti
ferri fereji
Sabia sadia
bindi binti
ferri fereji
ratans ratansi
ratans ratansi
kalam kasam
Ali ialji
Ima wima
Ali ali
bindi binti
of 11
Abdulla abdulla
building buildingl
Hamberg hagberg
Aleece lleece
keeks keeka
laverock loverock
Monti monji
nasua nasur
Urbai furbai
avail avalji
Kawai kawji
virus virji
Monti monji
afar jafar
Hirai hirji
Dedham dedhar
Abdulla abdulla
Abdulla abdulla
g 3g
of 71
of 55
of 91
of 71
is is5
in i88
Abdulla abdulla
Ahmed ahmed
Ali ali
Akbar akbar
Ali ali
Abdul abdul
Hamid hamid
Naji naji
Ali ali
achoo sachoo
Ali ali
Abdul abdul
I 1
lamnid lainid
of 11
Mlindi malindi
sundered sunderji
various vaiious
fungus funguni
betula bemtula
betula bemtula
Khokani khokoni
wirra wirna
Abdul abdul
Lehman llehman
Jamal jamal
mohammed mobammed
safer tafer
Abdul abdul
Eichman lichman
Jamal jamal
Abdul abdul
Jamal jamal
bindi binti
Salim salim
vacant acant
hant hantn
Hussein hussein
garage gaiage
Hussein hussein
I 1
s s50
of 51
a 2
I 1
of 21
of 16
j 21j
a 8
bar bakr
Ali ali
Hussein hussein
I 1
Lapith lafith
fugal fuzal
Ismail ismail
dosage dosaji
I 1
Lalita lalitb
mohammed mobammed
Ali ali
Hussein hussein
various vaiious
serif sberif
Abdulla abdulla
k k1
jamadar jamader
Sendak pendak
Abdul abdul
basal basul
Alina aldina
sale salebj
of 60
of 60
of 60
a 2
a 6
a 2
a 2
a 2
a 6
of 00
of 00
of 00
of 50
of 50
of 00
of 50
of 50
of 50
of 00
a 2
I 1
I 1
of 00
a 2
of 00
of 00
a 2
of 00
I 1
of 50
a 2
of 00
of 50
I 1
of 00
a 0
of 50
of 00
I 1
of 00
I 1
I 1
of 00
of 50
of 50
a 2
of 00
a 2
of 00
a 5
of 00
a 2
of 00
I 1
of 00
of 50
of 50
of 00
a 3
of 00
I 1
of 00
I 1
of 00
I 1
I 1
of 00
a 0
a 5
of 28
a 3
I 1
a 2
I 1
a 0
I 1
of 50
of 00
of 00
of 50
of 00
I 1
I 1
of 00
of 00
of 50
of 00
of 50
a 2
of 00
a 0
of 50
I 1
of 00
a 2
of 00
I 1
of 50
I 1
of 00
a 0
of 50
I 1
of 00
I 1
of 00
of 00
of 60
of 60
of 60
of 60
Corbett corbett
Andrade andrade
with 20th
with 20th
february fclruary
in ih
will wlldl
IU iu
Ul ulh
UIL uifl
in i5
Ul ulh
mosaic 5isaic
Sy sy
silk silj
vii 5ii
Lil lil
nail niicl
gain gaciin
FLN ufln
AAU aau
ruin uuij
the t6hs
has lias
ill ihhl
is is5
all sll3
shtiks shtihs
BRS ybrs
y yk
ai iai
Udi udi
ham hamu
PHS 4hs
said 5aiu
BSFT usft
of ofh
a 3a
Amii aiii
Anica anich
iris imis
IIN iin
HK hk
is 3s
HH hh
tt ttv
him 13m
HSP hs3
VSO vs3o
Gw gw
of 11
luck luc
a 3
u 2u
you 13u
of tf
roi rxoi
had hai
WW ww
shall shsldl
all kll
coli i3oli
I 1
of 13
assi 5ssi
ICT ict
nasi nsai
its iuts
ida iza
ovum 1vuh
Ivie ivih
icier icieb
I 1
high hijh
fanin ianin
Onia onia
IP ip
ti yti
she yshl
warl wlrl
yield yi4lh
his hihs
HIH hih
in 4i3
name namn
highs hi4hs
man mln
in i5
such sjlh
slow slov
HSH hsh
non nyn
TNN tnn
hld hl3
only nnyy
FLN ofln
non nyn
life 4lifl
high hi4h
nina iina
Aniba yniba
limits iiyits
jim jik
ush u4h
CSM csm
all 5ll
ni yni
HIH 3ih
HIH hih
in wn
RSI r4si
NIA nuia
all al3
any yny
in wn
MWA mwa
LTL hltl
Jay JJ-ay
via yia
ti yti
Ian ian
tutti tjtji
MHL mhly
Chiai hiai
of 53
UW uw
city iiyy
in wn
ni niy
inial iniwl
NIA niai
Hu h4u
city iiyy
Chiai hiai
nine nii2
nights nirnts
tic 54ic
foi fki
samuin samuyn
i 3i
in uin
y y3
yin yitn
ni niy
in wn
y y3
yakin yayin
in wn
owly vwly
isl ysl
in wn
only 1nwy
a 3
by b1
a 3
NOP nop
accum accu
he h2
hurls hufls
him hi4cm
lit lict
a 5
a 2
cog clg
whew whjw
in wn
saying snayin
via yia
king yijg
in wn
city yi4y
CCIS ucis
isn 4isnn
ROSAT risat
a 3
ihi hihi
yens y4ns
PITI yiti
city 3iyy
it it5
acorn acrrn
its i4its
voice vyicn
as ns
ai iai
sum ium
city iiyy
ICI hici
nil nihl
nil nihl
Wii ywii
WWI wwi
com 3om
init iniw
binh cinh
b 3b
city iiyy
amass aiass
yis yiw
things thinss
may iay
of 00
of 00
of 00
of 00
I 1
ovo 4vo
fro lro
of 10
a 3
war vwwr
I 1
MITI mitf
tit itit
mill ymiyl
th 5h
Zomig iomig
lay lry
UIL uil
idle idrlv
a 3
HLA hla
ifrit idrit
oil yil
HKJ h5j
I 1
ovo rvo
too 3oo
fro vro
ovo rvo
TTFN ttfo
ovo 3vo
I 1
a 0
a 0
Ve 4v0
Alvo 3lvo
of 00
a 0
v 4v
I 1
of 11
of 11
a 0
of 00
to tno
a 3
a 0
to t3
I 1
Irl irl
of 00
of 00
of 00
a 3
of 00
a 0
of 00
of 00
of 00
of 00
of 00
of 00
of 00
of 00
of 00
of 00
of 00
of 00
OGO ogw
RL rl
I 1
a 3
a 3
all 10l
rd 3rd
frail frasila
Pemba pemba
a 6
of 10
a 8
of 11
a 6
a 8
of 12
a 0
of 10
a 0
a 0
a 9
of 15
a 6
a 9
of 15
a 0
a 9
of 15
a 0
of 13
I 1
a 6
of 13
a 2
a 0
of 13
a 3
a 0
rd 3rd
with 10th
rd 3rd
Mio uio
civic hi3ic
GH gh
spite sspste
LOI qloi
ICI yicii
hairy hriiy
j 2j
NIRC nihc
LTL ltl
Ali hli
with 19th
of 29
of 47
Asiatics asiatics
of 37
of 75
of 31
clank claek
with 25th
of 30
Pemba pemba
must 21st
Sinclair sinclair
rd 3rd
j 31j
th 8th
McClellan mcclellan
rd 3rd
mood mooo
delve dllvi
Cauqui auqui
WTF wtfl
HLL hll
of 31
sought souht
he 3e5
NISO nisf
kit klt
with 24th
ff fj
jaw jaz
RCL trcl
Naji oaji
Ji ji
soul sjbl
a 4
LTL ltjl
JWV jw1
Helmuth helmuth
Mlindi malindi
with 12th
rd 3rd
Pemba pemba
samiri mamiri
with 26th
samiri mamiri
by byh
Pemba pemba
nasua nasur
with 26th
Abrahams abrahams
toyon toion
with 26th
a 4
up u9
jim jij
xs xsj
fey cfey
Ujiji sjiji
ails ailsj
a a9
CJ c5j
a 0
j 0j
JJ jj
AJ aj
Aili aiji
AIC aic
oval olal
AJ aj
Jodl jpdl
all axll
old olj
AJ aj
JFK jlk
JST jsj
of 11
JJ jj
AAO aao
dill dilj
Abrahams abrahams
Pemba pemba
of 48
Rashid rashid
Salim salim
Kaithi gaithi
kongoni kiongoni
Rashid rashid
Salim salim
Kaithi gaithi
Rashid rashid
Salim salim
Kaithi gaithi
kongoni kiongoni
with 10th
with 24th
JJ jbj
si 4svi
ll l5
jaw jw
oil ojl
a 5
Jl jl
ICI iji
LJ lj
all a9l
a 3
by 45y
j j5
all jll
AUI aui
up u1
JST jsj
ideal idbjl
soul 49ul
day daa
a 1a
far faz
old ild
ll 4l
ICI 4ci
lill jlill
WTF wtf
JJ jj
Jl jl
Abrahams abrahams
obi obji
adj 4dj
a 4
oval ovcl
oil jil
of 62
Ali ali
madam mkadam
Ali ali
madam mkadam
found fuoni
word 23rd
est 1st
KE ke
est 1st
JJ 4jj
OTA ota
jail jiil
OLTM oltm
Ji ji
ill ilu
ai 4ai
of jf
I 1
JJ jjc
j j1
th jh
call cabll
JJ jjc
a 3
JC jc
lui dllui
JP jp
Jl jl
Pemba pemba
Lil lil
FYI 1yi
jaws jais
ill ixll
JJ jj
ilio ilkij
a 4
tub t3b
Jl jl
Keating keatinge
Ji ji
general genebal
Pemba pemba
of 19
of 54
Fatma fatma
bindi binti
naso nasor
Fatma fatma
bindi binti
with 15th
with 24th
Abrahams abrahams
khatib khatibu
Hussein hussein
khakis khamis
khatib khatibu
khakis khamis
Hussein hussein
khatib khatibu
Hussein hussein
chaka chwaka
with 15th
Abrahams abrahams
must 21st
old ols
Jl jl
abl ajbl
ja jja
ll l1
Ji ji
abl ajbl
LBJ lbj
ha h1a
sky ksy
bl blj
qui iui
is iis
to tj
Ji ji
JJ jji
Jl jl
job jvbj
au aju
JJ jbj
Ji ji
avail abail
JJ bjj
iota ibta
liable aiabl
ll l1
dub dlb
Jl jl
JJ jj
go gj
Jy jy
Avi avi
Abrahams abrahams
sky ksy
adj avj
anti aiti
a 3
air aij
ll ljl
obi obji
of 20
Jl jl
JC jc
Jl jl
Gij giji
JC jc
b jb
Jl jl
I 1
alibi alib1
a 1a
Ji 4ji
all alijl
tell tjjll
ba jba
pea pja
b jb
AJ aj
Gil gil
Jl jl
JIS jsis
all jlxl
all tll
a 4
I 1
Ji ji
I 1
all jljl
LJ lj
is ibs
Ayesha ayesha
bindi binti
Salim salim
Ayesha ayesha
bindi binti
Salim salim
th 9th
demands demauds
Ahmed ahmed
smelt smeit
Salim salim
Omar omar
Keating keatinge
all xll
I 1
sophia sukhia
JJ jju
I 1
with 25th
a 6
Ahmed ahmed
Ali ali
of 20
of 11
with 26th
sophia sukhia
with 26th
of 22
Salim salim
out ourt
Salim salim
est 1st
hathi harthi
Ali ali
hdl wdl
sophia sukhia
with 25th
jim jij
Abell asbell
ideas ij3as
I 1
ASN asn
AJ aj
Illia illil
UPDS ujds
of 11
air aiub
Aili aiui
a a9
atavi aiavi
ai iai
basil absilj
Jl jl
till tillj
I 1
I 1
a 0
ilii 3jlii
Ij ij
ami umvi
Abrahams abrahams
a 4
veil aeil
age agj
void voi
all ajll
prill jprill
aal aalj
of o6
Ij ij
tail jtaii
case calse
of 63
a 9
khakis khamis
jump juma
khakis khamis
jump juma
SDIO wdio
with 13th
est 1st
est 1st
Keating keatinge
Ismail ismail
Hirai hirji
Ismail ismail
Hirai hirji
and 22nd
fatal fazal
Hirai hirji
has lias
IEN iecn
appro appo
need nted
sophia sukhia
with 25th
vary uary
of 29
hashab hasham
day daya
hashab hasham
day daya
day daya
ton tion
hashab hasham
day daya
with 17th
with 24th
sophia sukhia
a 3
a 3
gate gwatte
probate peobate
administration administeation
of 33
sale saleh
sale saleh
Hassam hassam
sale saleh
with 17th
sophia sukhia
with 28th
act acj
of 35
the ihe
bindi binti
ilth i7th
with 28th
at atj
sophia sukhia
Thayer thayer
pursuant pusuant
thaler thaver
Sonrai sonbai
bindi binti
at atj
est 1st
punka punja
warrer warrar
otate otuate
mood masood
very verm
I 1
th 5th
of 10
forego forenou
virtu virtm
Alic ablic
iud iiud
ago afo
time tiie
of 58
a 8
of 12
est 1st
tick titk
I 1
Une une
defend defen
Ul ul
Ful ful
lie llie
the ihe
percha purcha
becois becoi
I 1
ice irce
alani alati
drovers drojers
foodstuffs food-staffs
sects escts
RSTS rscts
of 50
of 00
of 75
a 0
of 20
a 0
of 20
a 0
of 19
a 0
of 20
a 0
of 20
also also-
of 31
of 30
of 00
of 25
a 0
of 19
of 20
of 15
Campti gampti
tokos tokosa
korai koruai
halva hahva
for f80
eyras eyrrs
ostia sotia
a 4
a 5
a 6
a 7
a 9
of 10
tmv tmvn
Chatawa charawa
a 0
of 40
of 32
a 0
a 4
a 0
of 32
a 0
a 0
of 90
a 0
a 0
of 48
a 0
a 0
I 1
a 0
of 48
a 0
a 7
a 0
of 41
a 0
a 0
d 4d
I 1
of 28
a 2
of 00
a 7
of 00
in i13
a 3
a 0
of 20
frail frasila
per lper
the thp
foodstuffs food-stuffs
speed speei
of 12
foodstuffs food-stuffs
outside ontsde
Pemba pemba
McClellan mcclellan
est 1st
Pemba pemba
with 28th
a 3
a 3
gate gwatte
probate peobate
administration administeation
of 33
sale saleh
sale saleh
Hassam hassam
sale saleh
with 17th
sophia sukhia
with 28th
act acj
of 35
the ihe
bindi binti
ilth i7th
with 28th
at atj
sophia sukhia
Thayer thayer
pursuant pusuant
thaler thaver
Sonrai sonbai
bindi binti
at atj
est 1st
punka punja
warrer warrar
otate otuate
mood masood
very verm
I 1
th 5th
of 10
forego forenou
virtu virtm
Alic ablic
iud iiud
ago afo
time tiie
of 58
a 8
of 12
est 1st
tick titk
I 1
Une une
defend defen
Ul ul
Ful ful
lie llie
the ihe
percha purcha
becois becoi
I 1
ice irce
alani alati
drovers drojers
foodstuffs food-staffs
sects escts
RSTS rscts
of 50
of 00
of 75
a 0
of 20
a 0
of 20
a 0
of 19
a 0
of 20
a 0
of 20
also also-
of 31
of 30
of 00
of 25
a 0
of 19
of 20
of 15
Campti gampti
tokos tokosa
korai koruai
halva hahva
for f80
eyras eyrrs
ostia sotia
a 4
a 5
a 6
a 7
a 9
of 10
tmv tmvn
Chatawa charawa
a 0
of 40
of 32
a 0
a 4
a 0
of 32
a 0
a 0
of 90
a 0
a 0
of 48
a 0
a 0
I 1
a 0
of 48
a 0
a 7
a 0
of 41
a 0
a 0
d 4d
I 1
of 28
a 2
of 00
a 7
of 00
in i13
a 3
a 0
of 20
frail frasila
per lper
the thp
foodstuffs food-stuffs
speed speei
of 12
foodstuffs food-stuffs
outside ontsde
Pemba pemba
McClellan mcclellan
est 1st
Pemba pemba
with 28th
I 1
of 11
march rmarch
a 3
march makch
est 1st
unions nnimons
southern souihern
lbs lbsj
of 17
of 28
so so1
adj gdj2
of 16
of 12
of 12
I 1
of 00
of 22
I 1
of 04
of 12
of 34
of 00
a 2
of 00
of 00
of 17
of 28
of 64
of 12
j 34j
of 22
a 2
a 4
of 30
of 34
of 12
of 12
of 00
of 19
of 00
of 00
a 2
of 00
ut ut5
of 10
of 25
bar zbar
Pemba pemba
of 33
of 22
of 19
of 30
of 14
chief chie
rules 32rules
official oflieial
langi lanii
degree deeree
of 11
of 37
sin 3sin
iris i9i6
i 12i
of 14
tenders 12tenders
prill priil
of 61
of 12
of 69
of 18
HBM hbm
of 24
HBM hbm
of 36
