revised   word
of 16
of 24
ilio tlio
a 3
of 12
with 28th
next xext
and 2nd
okay ikayj
arrive arkive
I 1
of 12
of 12
a 0
a 7
a 4
a 2
jug julg
of 30
of 27
august auyust
of 21
of 22
of 19
a 3
of 29
of 28
of 25
of 23
of 20
of 17
of 13
of 10
a 8
monday onday
a 4
a 8
a 5
of 10
a 9
of 15
a 3
I 1
of 19
of 27
of 24
of 18
a 4
a 2
of 30
of 28
of 25
of 22
of 19
of 15
of 14
of 11
a 9
a 7
a 4
I 1
of 29
g 2g
of 23
I 1
g 2g
of 23
of 23
of 20
of 18
of 15
of 12
of 10
a 5
a 3
of 31
meager meamer
Auer auer
inns inss
as ns
est 1st
Icel inel
assert passert
sterner 8tearner
Ader ader
est 1st
and 2nd
I 1
sturmer sturaer
hen henj
keg kmg
what whoat
till tvill
between benveen
and ami
high hnilh
package packagi
separate sepaiate
of 11
damaged tamaoed
willie willcbe
ingram ingrams
tmh 2mh
february februanj
with 24th
with 25th
with 25th
of 95
of 90
forgave forgach
has lias
hernia hcrvia
lgth 2gth
has lias
are arc
lgth igth
with 21th
shrub shrubb
dorado dorando
with 27th
Servia servia
with 27th
IRAs iras
of 71
with 20th
Haldane haldane
I 1
are arc
with 28th
Servia servia
a 9
a 3
piquant piquart
Rion rion
tons tions
has lias
obituary obituarym
of 21
undular undulah
SNG sng
tourist turist
who iho
a 8
a 8
est 1st
prussia ilussia
Servia servia
and 2nd
Sinclair sinclair
and 2nd
of 80
semiofficially semi-officially
Servia servia
Herzegovina herzegovina
Lloyd lloyd
appalling appaling
hashab hasham
and 2nd
mahomet mahomed
Rakia rakhia
est 1st
Lindsey lindsey
est 1st
africa afbica
attelet athelet
Itala itala
atheist athelct
a 2
of 45
of 46
bearing bearring
Laresa garesa
of 0f
ISOO isjo
a 6
of 28
a 7
of 17
garion harion
salable malable
kilnman kiliman
Corbett corbett
baston baeton
Orel orel
count couet
probate pkobate
a 5
estate estrte
hashab hasham
subject subjectx
kilnman kiliman
position positionon
miles 51miles
of 52
of 18
of 5f
of 86
of 54
characterised characterfired
visibility visibility12
of 78
remarks remarkson
variations variation18
notice ifnotice
kilnman kiliman
Beri bezi
Guardafui guardafni
portion porttion
a 9
of 17
a 3
Kee kee
I 1
I 1
affected affectedno
peri perim
peri perim
mande mandeb
landed alandeh
Lorenzo lorenzo
with 18th
in ini
ACM acm
subjection subjecton
est 1st
shiny jshiny
of 25
of 58
of 82
of 59
anus anuts
of 52
of 64
variations variationop
of 77
affected affectedno
KSF ks9
deluge delugoa
of 85
of 25
mande mandeb
peri perim
for eor
subjective subjectthe
peri perim
of 12
of 39
of 43
of 24
I 1
peri perim
southwestern south-western
a 2
Balf balfe
of 29
th 6th
joy cjoj
see seae
Jl jl
that dthap
his hio
Jidda jidda
v 2v
of 89
of 10
Chari chari
effected effectedno
Jidda jidda
PaG pag
korec kowec
ally alyy
officer officeo
ring rini
clarke clarkes
MCAD mcad
majesty majestys
magic matic
with 25th
Lindsey lindsey
with 25th
of 91
a 4
a 3
officer officerc
almond walrond
HBM hbm
barrels garrels
Cunza cunha
Souza souza
Wiggins wiggins
volcano folcao
rosario eosario
est 1st
Baldomero baldomero
Souza souza
falco falcao
Cruz cruz
montero monteiro
Baldomero baldomero
Souza souza
falco falcao
montero monteiro
Corbett corbett
Corbett corbett
with 28th
with 28th
of 20
I 1
I 1
hospital plospital
gambo ngambo
rainfall eainfall
put p32
baraka barawa
Pemba pemba
with 26th
with 28th
with 28th
Gouverneur gouverneur
Goan goan
with 17th
with 18th
Wiggins wiggins
Baughman baughan
Sinclair sinclair
of 43
of 87
of 48
of 89
of 47
of 91
of 48
of 43
of 91
of 54
of 52
of 84
of 58
of 85
praham parham
of 55
of 94
Forster forster
of 55
of 96
of 53
of 98
of 61
finish fiinish
with 26th
Tamatave tamataye
with 27th
bruce brucy
Reece reece
Dressler droessler
with 28th
Corbett corbett
with 28th
Mallory mallory
puppy puppo
Amando amandeo
gouter gouzer
Lucie lucie
with 28th
Gouverneur gouverneur
a 3
brood brodo
topped tocppen
Mitchell mitchell
heard weard
and 2nd
Kancler kanzler
degener wegener
bane bayne
a 3
I 1
of 36
a 2
a 5
a 3
of 47
a 4
of 28
a 5
a 0
a 5
of 30
a 5
of 59
a 4
a 5
a 6
a 7
a 2
of 18
a 4
a 9
a 4
of 45
a 5
of 15
a 5
of 45
a 6
of 13
JV jv
a 6
c c5
c c8
a 9
of 07
a 9
a 0
of 07
c c9
of 07
of 07
of 01
c c2
j j2
JJ jj
CZ cz
ran rtn
ex zx
pp p3
I 1
HH hh
tea tsa
I 1
of 02
of 11
Ve v2
HH hh
pp p3
a 4
of 07
c c3
CJ cj
Pemba pemba
bare baro
of 29
of 22
of 83
of 83
of 84
of 84
of 83
of 84
of 84
of 81
of 84
of 84
of 84
of 84
of 83
of 83
of 83
of 83
of 83
of 82
of 83
of 82
of 84
s s3
of 86
of 84
of 83
of 83
s s3
of 84
s s3
of 82
of 83
of 84
of 84
of 84
of 84
of 83
of 84
of 84
of 84
of 84
of 84
of 85
of 84
of 83
of 83
of 83
of 83
of 83
s s3
of 82
of 84
of 88
of 85
of 83
s s3
of 83
of 83
of 82
of 83
of 84
a 6
a 7
a 8
a 9
of 10
of 11
of 33
of 11
a 3
a 5
of 16
of 17
of 18
a 3
a 9
of 20
of 21
of 22
of 23
of 24
of 25
of 26
of 27
of 23
of 29
of 30
of 31
a 7
I 1
cg 0cg
babies babnes
lightkeeper light-keeper
Christchurch christchurch
ti 4ti
count c0ubt
zanzibar zanzibae
XO xo
lesson besson
Ismaili ismailji
ami vmi
Ji ji
lie ilie
with 27th
Talati talati
registrar begistrar
Ihlat illat
a 3
a 3
europe huirope
a 7
est 1st
of 11
Talati talati
Ismaili ismailji
be ibe
Talati talati
est 1st
parji harji
and anv
Talati talati
and 2nd
mid mi1
harrison hariison
th 4th
IFIP ifih
are arj
parji harji
whereas hereas
th 9th
Talati talati
trap trar
of 13
parji harji
gambo ngambo
Karim karim
tea teja
Karim karim
rd 3rd
of 10
Talati talati
NGA ngam
rear remr
drunken drmnkey
acute gactte
a 4
mahican mahica
capitana capitania
ports portos
Porella portella
Jos jos6
Ribeirto ribeiro
primero primeiro
tenent tenente
capital capitao
ports portos
territory territorio
mania manica
befall bofala
faro fazo
side sido
sea seja
Porella portella
Como como
Augusto augusto
Porella portella
one qne
capitana capitania
ports portos
of 15
capital capitao
ports portos
Jos jos
freits freitas
Ribeirto ribeiro
tene tenen
Gertrud gertrud
Eduard eduard
Oxus oxus
shall schall
blanco blsnco
of 11
of 24
Erna erna
of 28
of 31
I 1
blanco blsnco
deal doal
deal doal
ink ixk
president praesidcnt
president praesident
of 11
of 24
deal doal
lie tlie
Zanzibari zanzibars
pistol oistom
with 27th
of 11
brite briteh
dominion dominioim
Afifi afiii
I 1
of 14
used uslld
I 1
Safi dsjfi
of 47
of 24
of 71
am 2m
of 02
ports iorts
copist coiist
ISOO isjoo
of 12
a 7
of 40
a 4
of 24
a 4
of 41
of 41
of 40
of 18
of 14
Ellis llis
s s75
of 75
ll l2
of 45
a 7
a 8
of 25
a 5
a 0
tomb tcmba
I 1
luigino luiino
tortoise torioisu
vax vyax
a 3
of 47
of 11
echini ehini
oublie kublief
Luli llli
of 15
of 00
frail frasila
of 35
frail frasila
of 35
ll lljs
frail frasila
of 35
a 3
a 3
a 9
piping pping
xd 2xd
march maech
tim tium
Wilhelm wilhelm
baraka barawa
Khiva kihva
Sherard sherard
Osborn osborn
McLean mclean
Gournay gourlay
ganze ganhe
casanova casanoa
Michelsen michelsen
general deneral
I 1
city lity
german igerman
of 59
of 97
of 55
bar zbar
a 0
bar zbar
a 0
Kismayu kismayn
Pemba pemba
Durban durban
Pemba pemba
Bav bav
of 22
run rui
of 23
of 23
of 25
is 2s
of 25
ILS ils
of 25
of 20
of 27
of 27
war iar
I 1
is 2s
I 1
j 28j
I 1
