revised   word
all 5ll
micht mihcht
tirl tirtl
clung clsni
till til5
ICU 4cu
all ahll
howl hwwl
howl hlwl
QWL qiwl
MSR msr
with mwih
col cgl
TW tw
IFR i4r
sickly sichlb
a 4
owl owll
SIMM simm
LJ 4lj
ii 5ii
awe awi
he h4
anew anlw
Goanese goanese
zanzibar zaneibar
Hirai hirji
jamdani mamdani
est 1st
of 10
with 19th
notice xotice
baladin aladin
dermal kermali
est 1st
of 10
with 19th
Zanzibaris zanzibars
with 27th
of 10
a 3
a 4
pwh 4wh
err 4r4r
ghz gh4
a 4
RL 4rl
ctrl cthl
had hs4d
Farwell farwhll
wrist srist
s s41
a 5
Shu 4hu
of 41
judah jfudsh
sell sll4l
ll ll4
real 53al
cod chd
a 4
til t4l
of 41
huge hu41
also klsj
a 4
CTD ctd
of 41
til tfl
WKS wkvs
sum slm
to 41o
DIY 4iy
a 5
li 3li
till tihl
of 41
ROFL lofl
astr sstr
of 41
a 3
a 4
YCL yml
idle itdlr
all 4l4l
said sfij
of 43
words wwrdl
of 41
semi 3vmi
iches ichvs
INH inh
a 3
Nanhai nanbai
Hashum hashum
Nanhai nanbai
Hashum hashum
th 5th
are arc
jump juma
sadhana sadhani
dhals dhala
shaku khaku
with 18th
edge jedge
with 18th
fall fazul
Jaffe jaffer
I 1
boasted boustead
any auy
of 10
a 2
a 4
gleeman sleeman
of 21
a 9
of 14
of 44
of 26
of 15
of 14
Agnew agnew
a 0
of 44
of 39
of 38
a 9
of 40
a 8
of 10
of 11
I 1
a 2
a 3
a 8
a 8
a 9
of 10
a 0
a 2
a 2
of 23
of 24
of 25
of 26
of 27
of 28
est 1st
and 22nd
of 17
of 18
of 19
of 20
of 00
of 21
of 22
go 7g9
meekly eekly
of 01
must 31st
charlesworth fcharlesworth
of 17
of 15
of 13
a 0
of 18
of 15
of 19
of 15
of 12
of 20
of 15
of 12
of 22
of 15
of 12
a 0
of 23
of 15
of 12
a 0
a 3
price iprice
with 24th
Mussulmans mussulmans
splints selinos
Ewa rewa
has lias
kennell rennell
Menelik menelik
with 26th
Mussulmans mussulmans
dams damos
panic spanico
tm tmd
Candia candia
with 26th
with ith
with 27th
sent senl
est 1st
Rawson rawson
punitive puntive
company companys
the thn
mahar mazhar
behind behaino
retime retimo
Candia candia
Mussulmans mussulmans
and 2nd
company companys
horn horin
with 16th
company companys
of o0
Ulah ulah
binge binue
mahometan mahomedan
are arc
mahometan mahomedan
as ns
as ns
because aelause
Rawdin raidin
Sokoto sokoto
