revised   word
of 12
of 25
sd sd50
villain vallain
kamba mkamba
indolent inolent
I 1
individual indiyidual
I 1
a 4
konstantin konstantino
Tino tino
with 24th
are arc
loss lous
must 21st
edge ndge
and 22nd
ruelle ruehle
est 1st
Vibram visram
Ibrahim ebrahim
company companys
McDermott macdermott
with 11th
th 8th
muleman suleman
affect affent
jet jkt
ll 5l
jim jjim
SPDL swdl
col ctl
did diydl
i 5i
flea flha
high hh1h
Cohl clhl
I 1
which hich
Shull shull
lid liyd
which hich
hill hilhhl
hinder hindwh
toch tmch
EI ei
DLA dlh
DLA dlh
not n41
DRD rdrd
held helhhd
RL rl
Ohl hhl
HIH hih
hili hijli
slate slltel
all sll
foxwood forwood
cider cyder
foxwood forwood
I 1
obtained jobtaixed
Souza souza
Junr junr
nb nb2
a 4
Ian ian
Monro mnnro
Souza souza
Junr junr
a 3
action actien
noting nolting
foxwood forwood
dandy dlndl
of 11
MVY mvq
lisu iisu
Ohl hhl
Tia tia
sixth siithi
NIMH oimh
hiding hiini
HCR hcri
shall slhahl
Ruthi rthi
ISI isi
SSRI sshi
Ahl ahl
his hil
judith juitht
ahh 5hh
Hal hal
eild eilh
at atl
th yh
HLL hllu
happy hdpny
foh fhh
HH hh
HMI h5i
spahi sphahi
chi hhi
till tlil
Ohl hhl
all alhhl
Sahel sahfl
heh hph
Ahl ahl
oils oflsu
Michal mihal
RTU rtu
rich rtch
hajj hijj
DHL dhl
hill hlcil
haul dhaulh
ch hch
DCH dch
DHL dhl
stew stlwi
HDA hlda
DHL dhl
divide dihidl
itai itui
have hiavu
Hawi ahwi
hill hdlhl
six sih
dull dhldl
HRIP hrij
hdl hdlh
his hls
his hii
such slchd
had ihadl
HH hh
hill hiul
hia hia3
DHL dhl
DHL dhl
ll lla
lui hlhui
DLA dla3
zanza zanzj
patd aatd
no 2no
of 58
Sth sth
th 8th
twain thwain
a 8
th 5th
Pennell rennell
majesty majestys
their tbeir
Reggi regui
early larly
askaris iskaris
I 1
Melinda melindi
rioting riotins
Alis alis
blanche sblanche
Grenfell grenfell
Pennell rennell
nor nior
bluejackets blue-jackets
found foiuid
ran ral
Mathews mathews
pittance mittance
approaching approaching-
beheld beaeli
their tbeir
Mathews mathews
Khalid khalid
affairs afiairs
Khalid khalid
Grenfell grenfell
Khalid khalid
treasure treasur
twain thwain
diplomatic plomatic
Lloyd lloyd
Mathews mathews
Lindley lindley
twain thwain
of 11
rbr rvr
sounding soundinga
remaining remainingon
about aboul
bingle biigle
I 1
at at1
Melinda melindi
armed arnred
hints xints
I 1
askaris tskaris
charlesworth oharlesworth
I 1
of 10
Pennell pennell
odd kodd
Mathews mathews
Lindley lindley
ohms ofhms
tiara tiaruza
troops troojts
Khalid khalid
ton tion
sayyid suyyid
hamous hamoud
haired haiued
twain thwain
Pennell pennell
pond podd
temperate tecterate
otis otiv
Ivor ivor
Pemba pemba
gau mgau
bender benader
Ali ali
romany gomany
gau mgau
Ali ali
Ali ali
Alis alis
Ali ali
trying trving
th 8th
Alis alis
Ali ali
imaum emaum
of 38
of 40
Burgash burgash
twain thwain
twain thwain
lectorate tectorate
th 8th
RTL rtl
th 2h
JHS jhls
its 4ts
Yuji yusji
king ninsg
HIH hih
Sirte sirti
ilii iliil
sess shss
ht 2ht
a 4
CTT ctt
chi hhi
lit lti
SCA scj
om omw
Sudani sudani
Hsu wsu
I 1
of 64
his hijs
self s3l4
Riis 5iis
Siusi siysi
is is3
a 4
slim sllm
I 1
mud mudi
ta kta
cure 6curi
arui jrui
rita 5ita
PITI 5iui
dirty irty
art urt
wali wfli
shall shmkl
a 6
risk rtwsk
Elsi tlsi
util uiil
of 44
VLDL 5ldl
ill ihldl
sad svd
NFL 4fl
ovid ovdi
ship siip
mortal murtwl
DDI ddi
hurt hhrt
ha hra
vii hvhi
DLL dll
dad dadi
ll lsl
SMDI smmdi
lld lwld
batful bftful
says smysu
SNU svu
UIMS uimsi
IP ip
lift iiuft
fold dftld
euda eudl
shall shldl
left 6cft
RTU rtu
hurt hdrtu
pium piud
who whi
sheds shlds
HLL hltl
infl i4fl
ilot ilrt
lip rtlip
Dli dldi
NDL 4dl
day djjy
id ipd
up 4p
NDL 4dl
rti rtdi
SLP 4slp
Irl irtl
of 44
of 41
SDV sdv4
art 4rt
unl udl
Dli dldi
his h4s
dds dd4
of 64
of 64
of 44
Haldi haldi
ilii 4lii4
rti rtdi
did dild
did d4ii
dried drtld
CFL cfl
did dij
dull dsll
villa vcll4
Ahl ahl
ilii ilsi
ill irll
his hls
Lil lil
side sidl
up 6p
VLDL dldl
added a4dld
of 41
disp disip
a 3
DLL dll
dods dlds
VLDL hldl
pals pdls
a 3
is 3s
of 34
DFS dfs
of 41
RTSL rtdl
in ih
sell sdlhl
dirty dlrtd
had hadl
roll rtll
Lil lil
NDL 6dl
diam diaa
slip sliii
ll 5l
start rtdrt
of 44
idol 4d4l
Dodi d4di
six sii
of 44
and a4d
Alulim dlulim
did dii
sal s4l
sill silul
DLL dll
NDDL dddl
BDT 6dt
a 3
sal s4l
NDDL dddl
help hlp
NDL 6dl
of 44
late 4latl
a 4
lid ilid
of 64
LLP llp4
del d4l
you 41u
DH dh
of 44
sill si4l
shall sdlall
IP ip
a 3
DLL dll
of 44
DH dh
part prt
owl dwl
of 43
delft d4lft
old 4ld
a 3
assert asdlrt
RTL hrtl
HLL h4l
Lal 3lal
shirt sfirtl
old 4ldw
of 44
I 1
lp 4lp
hydra hldla
gdp gdl
lb dlb
RTL 6rtl
of 41
RTSL rtdl
dull ddllj
a 4
did eid
caps c4psp
IDL 4idl
NDL 6dl
dull d44l
DDI ddi
Utta u4ta
Jal jdl
ISS 4ssl
a 3
I 1
DLP dlp
all 4ll
of 61
of 11
did dld
is 4s
VLDL 4ldl
MLO mlo
of 44
I 1
DLL dll
do d4
up 6p
I 1
a 4
of 54
ai 4ai
all lll5
sad sdad
RTSL rtdl
DDL ddl
DCH dch
dry drl
sad sdad
old 6ld
dups dwps
dkl dk4l
pal 3al
NDL 6dl
of 44
redip rtdip
RTSL rtsll
rich iic4
NDDL dddl
midi mtdi
ai 4ai
he h14
Ilya ilaa
did idid
Shii hsii
ai 3ai
RTL 6rtl
of 44
via 5ia
do d3
flap lfltp
red rtd4
dat d5t
of 41
Ali 4li
of 44
soldi s4ldi
old 4ldb
addr 6ddr
cruel 4rufl
jail jsil
in i54
rti rtij
rail radl
a 3a
RTSL rtdl
fly fli
I 1
ill il3l
a 4
act 4ct
jiff jifl
Didi didhi
infl iefl
of 14
ilii iliip
six sii
slip sli
simi 3simi
six sii
rid rd4i
RTLS rtld
of 44
sil 3sil
six sii
ill ilfl
RTL 6rtl
rti rt4i
six sii
carts clrt4
all adl
part 44rt
of 14
a 4
ll 5l
devil ddiil
RTL 6rtl
mei 3ei
s s4
a 3
Ohl 6hl
DLP dlp
pad padl
SDA sda4
dull udl4
LTL 5ltl
sil 3sil
TDL ctdl
DTP dtp
all 4ll
i 4i
DLA dl4
of 14
STOL sttl
a 3
a 5
do d3
zip z4p
dull d4l4
DHL dhl
was w5s
IP ip
chi 4hi
i 4i
did dih
dia d4ia
aside a6idei
of 41
of 44
flail 5la4l
am 4m
RTSL rtdl
DTP dtp
DH dh
DDI ddh
iodi i4ldi
VLDL hldl
of 44
SDA sda4
of 44
DPA dp4
diddle diddld
six sii
slur sluh
dull d54l
DLC dlc4
RTL 6rtl
NDL wdl
shia s4ia
old ild
had hada
DLP dlp
ill i4hl
allay 4lla4
ll 6l
simiid siiid
pal 4p4l
a 4
HH hh
dobl dlbl
of 11
HH hh
ilium il5u4
a 3
Ohl 6hl
RTSL rtdl
ll 6l
RTL 6rtl
of 44
ill il54
DH dh
VLDL 4ldl
sir sira
his hio
rti rtdi
Hder hdei
of 41
du dlu
had hdad
RTSL rtdl
a 4
SDA sda4
of 44
dull d44l
when 4h4n
of 41
soak sdak
id i44d
a 3
data d54a
of 64
a 3
of 61
RTL 6rtl
of 44
dirt dprt
pull pldll
flail 4liil
Srta srtl
RTL 6rtl
DLL dll
ll 6l
did d44
ho hlo
lady ladl
hdl hd4l
lip 5lpi
a 4
old 4ldi
RTL 6rtl
a 3
plan plal
DDL ddl
DH dh
scars sc41s
a 6
a 3
dull dlll
NDDL 6ddl
coli 65li
RTSL rtdl
tiding tidin
IP ip
lull 4ldll
all 4ll
slip slih
diddy diddi
dil 3dil
ill ilfl
sal s4l
DLL dll
a 4
a 4
als 4ls
SPNI sp4i
dreidl dieidl
left llrt
dull d44l
Dli dli
IDL idl
Krti 6rti
of 41
lp 4lp
DTI dti
of 44
d 4d
soldi s4ldi
a 4
ends 54ds
RTSL rtdl
and a4d
hila hil4a
of 51
sil 3sil
hush hlslh
all 4ll
RTL 6rtl
NDL wdl
PDI pdi
of 44
it ift
pill pidlgl
RTSL rtdl
alisp aiisp
ll 5l
VLDL 4ldl
died dietd
of 44
app adpp
DDI ddi
did dij
a 3
stout stsuft
hide hidi
RTL 6rtl
del d4l
old 4ld
HLC hlj
DLL dl4l
Ohl 6hl
let lrt4
th 44h
of 11
flail 4l4il
RTL 6rtl
of 44
a 3
a 3
ilii isii
DH dh
a 4
the 6h1
rti rtdi
I 1
ll llh
dirty dlrtl
RTL 6rtl
del d4l
is 3s
asia aiia
of 44
ftp 4tp
pedal pld4l
dat d4t
it i4t
sofa soza
NDL 3dl
dot dlt
a 6
RTL 6rtl
dail ddil
all ailhl
RTSL rtdl
etc etl
Tilsit dilsit
d 4d
of 14
old 4ldi
of 44
told t4ldl
dreidl dieidl
a 40a
RTL 6rtl
HDD hdd
of 44
of 34
of 54
of 44
let lrt
NDL 6dl
and 65d
of 44
bluff 4lufl
let lrt
radium rtdim
NDL 6dl
RTT 6rtt
pull pldll
del d4l
Jal jdl
of 14
day da4
HDD hdd
VLDL cldl
sicca si4cia
of 44
SLP slp
doz hdoz
dull d44l
a 4
a 4
dry drt
he h54
a 6
di zdi
ftp rtp
six sii
thus thul
Ali 4li
and 65d
rti rtdi
heh hdh
stlg stlj
a 6
of 41
di 5di
DLL dll
of 41
Lil 4lil
la 6la
of 11
DDL ddl4
VLDL 4ldl
Ohl 6hl
of 44
RTSL rtdl
dull d44ll
SDL sdl
HLL hlhl
of 44
depr depu
the 6h1
a 3
ho hlo
of 14
RTSL rtdl
ill idlhl
he h54
dhal dhhl
del d4l
pedal p4d4l
art 4rt
up u4
the 6h1
will 4i4l
of 14
RL rl
of 44
slow sl54
help hlp
of 41
ll 3l
Ohl 6hl
HLL h4l
DLA dlj
of 35
DHL 4dhl
a 6
til tfl
Beri b54i
a 3
d 4d
Srta srtl
you 65u
in i4
ha hwa
iiwi iiei
a 6a
deia hdeia
idea hidoa
HH hh
will ei4l
dpt dp4t
Lil lihl
dart doart
Ohl 6hl
of 14
DTL dtl
RTL 6rtl
RTSL rtdl
RTL 6rtl
of 44
ilth ilthl
chi 4hi
sil 3sil
HDA hd4
RTL 6rtl
a 4
a 4
vii 65ii
six sii
DHL hdhl
soil 54il
did di0
mei 3ei
VLDL 4ldl
lui l4i
d 4d
Hder hdei
dew deow
hill hrtll
d 3d
DHL 4dhl
SDL sd4l
of 44
sat srt
also slsoa
flail 4ldil
of 44
del d4l
did dljd
of 31
th 3h
Hder hdei
deni deii
UB ub
Ul ul
elhi eihi
ICI i4i
did dii
dirt d3rt
chi 6hi
ODI ozdi
Hder hdei
hiding hidihl
ftp 0tp
RTSL rtdl
lull lulhl
sold slld
silk sil4
did d54d
dad dadl
RTL 6rtl
del d4l
all 44l
of 44
a 4
of 41
soldi s4ldi
old 4ld
and 65d
of 14
a 4
all 4l4
shed shpdi
DLA dl4
of 41
a 4
iva i4a
HH hh
hide hidi
side sidcl
sell sflhl
of 14
dull d4ll
dust dlst
TDL 4tdl
silk 3sil4
ho hlo
DNI dni
hill hlsil
DDL ddl
dull d44ll
DHL 3dhl
heh hdh
KIA kia
his hi4
via 4i4a
a 6a
Reuters reuters
est 1st
Reid reid
capivi caprivi
that tliat
lie tlie
and 2nd
has lias
silent sident
harrison harrisons
with 25th
Roseberry roseberry
rd 3rd
Reichstag reichstag
capivi caprivi
Damaraland damaraland
shakos swakop
geer geerz
Damaraland damaraland
th 4th
Orangemen orangemen
every eyery
Johnstone johnstone
Staffordshire staffordshire
Africanders africanders
Africanders africanders
th 6th
cleveland clevelands
SIMD soimd
landslip land-slip
a 3
I 1
vol vtl
col ctl
middle oiddl
FD fd
DDI ddli
add 5dd
our rur
clii cldi
ctr ctbr
sly slj
ill i4ll
API api
DLL dll
wry wrl
medial dldial
all sll
DDL ddl
add wdd
ho hlo
infl iffl
DLA dla
strait sdriait
fld vfld
NDL wdl
DLA dl3
a 6
Dlo dlo
off vtff
dew dlw
SDD dsdd
DLL dll
dull dlll
tical ticfl
vol v5l
till tilll
SDL sdl
mild 4ild
BDD bdd
Shel shdl
TSD tsdl
MLT mlt
gotra yotra
standi dtaldi
Addia ddia
di 4di
DDI ddi
half h4fl
life lirfl
veil vllil
shall shldl
DDL ddl
yis yi3
she sh21
a 8
did idid
Absi abhi
villi villdi
ho hlo
DTI dti
hotel hltdl
DFI dfi
NDL 4dl
too ooo
or oruj
laid l3idl
dhal dhdl
swim swi
thud th4d
a 8
old cld
buda uuda
dust dusw
a 8
SDD sdd
hail h35il
DTL dtl
shim shjim
DDL ddl
cliff cillff
DDI ddi
Sy sy
its its5l
Dlo dlo
had hrd
sadly srdli
cult cdlt
she shd
yard ywyd
hold hdoldl
Oudh oudq
lhd 5hd
ovoids ovmids
did di4
DDL ddl
fatal yatfl
film uilm
sold sdld
off hffl
siak siaq
ll 4l
lhd 5hd
fi hfi
atli atliy
of 48
add 5dd
wild wiaild
shiny syiyy
dials difls
off hffl
will 5i5l
bd qbd
hide hid5
to t3
tell tdltl
fluffy hluffl
iris 5iri4
idol hidofl
due dul
dail dsil
Othe othl
iodi oidi
sicily siyidy
dinful dinffl
Hder hddr
sal sfl
drift dpitft
llb dllb
lld dlld
hero hro
silk siljb
Hamil himil
NDL 3dl
a 6
tlo ctlo
WW ww
the t43
now 31w
for 34r
cradle crjdlh
a 5
lui lu3i
tudel tuddl
a 3
told ttuold
DTSS dtsl
shih 5hih
ISEE isei
DDI vddi
DDI rddi
eild eiild
ll 6l
DDI ddi
jail jjfl
VLDL 4ldl
his hil
did dij
i 3i
a 5
di wdi
ill ilol
ilium i5iu
ai 5ai
yet yctw
mi 4mi
ill ipll
HLV hlv
led ldd
a 4
ush u3h
idler imdldr
ismal ismdl
owl dwl
radial rtdidl
all aldl
DDI ddi
yaff ytff
DDL ddl
vill ivill
a 6
DDI dhdi
HWD hwdl
virile viuili
DDL dcdl
Woll iwoll
him hijm
del dfl
IDL iidl
dam dlm
RHV 4hv
of 41
a 5
higi hiji
lima liia
Sia sia
yill yifl
of 04
DDL ddl
Ursel urshl
DML dml5
did d5idl
her hlr
dods dlds
lo ulo
dry drh
true tr43
cred crdd
all 8ll
di d4i
cid cidd
of 11
add 4dd
flirt flilrtl
SDIS sdsis
meiji mmiji
lld l4ld
mal mdl
all 14l
DDL ddl
lhd 3hd
and 2nd
with 10th
smytries smythies
Hornby hornby
Pearson pearson
Cowey cowey
Malcolm malcolm
Kerr kerr
poured poueel
Beasley beasley
Wyatt wyatt
Koch koch
following followins
map mhp
tongue tnngue
with 17th
monday alonday
flaring flardinge
Iia iia
Koenig koenig
twain thwain
kavass kavasso
th 8th
with 11th
feb feby
aloft aloffat
th 5th
of 23
country countiy
Kismayu kismayu
pays panys
askaris iskaris
reeved reheved
harbinge hardinge
Inge inge
doesnt doesnot
bliss aliss
