revised   word
is ijjs
official oimicial
cigarette ciazette
a 2
a 0
Aarika atrika
and ami
jail jaili
ihp ih1
about ahout
on onl
july jvlh
mud 2ud
Tahoka taboka
ii iih
inia ini1
I 1
commodore kommodoue
I 1
lui uli
church jjurch
Kuopio kuomio
Lilli llli
illth ilsth
of 20
LSI lsi
nickname niiknama
Aili aili
diarch jiarch
IIL iilh
a 2
a 2
bombay uombay
Ibo ibo
cargo caroo
Turino uurino
of 91
are arc
a 3
translations 7translations
gujerati gnjerati
with 10th
must 31st
of uf
Broome broohe
ruin ruii
illness ilsnss
a 9
of 12
appointment 18appointment
in i7
transferor transferof
pollicis ollicos
ll l8
item it13m
causing causcno
a 5
of 13
of 80
of 25
of 81
must 31st
the th15
a 9
of 18
I 1
police olice
Sinclair sinclair
th 9th
of 77
Sinclair sinclair
th 5th
of 78
a 4
khakis khamis
Mariya mawiya
of 20
and 2nd
and 2nd
of 79
a 5
Ali ali
muleman suleman
masked maskeei
of 20
th 5th
both oth
a 9
of 80
Ismail ismail
jamdani mamdani
of 25
with 28th
inial icial
th 5th
must 31st
I 1
of 10
of 22
profit protit
of 33
of 33
of 33
Barnes barnes
th uth
Jas jas
Corbett corbett
Sinclair sinclair
Robertson robertson
must 31st
of 00
of 55
of 31
of 00
of 69
of 55
of 55
of 55
Jas jas
Corbett corbett
Barnes barnes
Sinclair sinclair
Robertson robertson
th 5th
I 1
a 9
must 31st
I 1
a 3
a 2
a 3
of 31
a 4
of 31
a 5
i 3i
a 0
a 6
of 16
of 15
a 6
a 0
I 1
of 10
a 3
a 8
of 10
a 6
of 13
a 0
a 0
a 7
a 7
a 7
a 5
a 7
a 0
a 0
a 7
a 0
of 18
a 7
of 15
a 0
a 0
of 11
a 7
a 8
a 0
I 1
si 8si
must 31st
a 2
of 88
a 3
a 4
of 88
of 87
of 95
Barnes baenes
such 5fch
of 82
Jas jas
Corbett coebett
Robertson robertson
th 9th
I 1
Pemba pemba
a 6
a 4
a 5
I 1
a 2
I 1
frail frasila
I 1
of 11
a 9
a 6
of 11
a 9
a 0
of 11
a 9
a 0
of 10
a 5
a 6
of 10
a 0
a 0
of 11
Ji ji
a 0
j j1
of 13
a 6
a 3
a 4
a 0
th 9th
swinged swineed
nief iief
with 16th
th 9th
swinged swineed
